key,name,iata-code,operational-scope,city,country,website,email-address,contact-phone-number
# base data
airport-01,"Aeropuerto Pekin",WKW,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
# name standard variations
airport-02,"L",AYE,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-03,"Lo",OZP,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",QOP,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",ZHO,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-06,"โลเร็ม อิปซัม",CRY,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-07,"لوريم إيبسوم",QBY,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-08,"洛伦·伊普森",EZY,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-09,"<marquee>Hacked</marquee>",WBP,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-10,"<script>alert(‘Hacked!’);</script>",ZWS,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-11,"' or 'A' = 'A ",KPM,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
# operationalScope variations
airport-12,"Aeropuerto Pekin",HFF,DOMESTIC,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-13,"Aeropuerto Pekin",IKI,REGIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
# city standard variations
airport-14,"Aeropuerto Pekin",TCE,INTERNATIONAL,"L","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-15,"Aeropuerto Pekin",NOL,INTERNATIONAL,"Lo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-16,"Aeropuerto Pekin",MUO,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-17,"Aeropuerto Pekin",IMA,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-18,"Aeropuerto Pekin",PFH,INTERNATIONAL,"โลเร็ม อิปซัม","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-19,"Aeropuerto Pekin",OWA,INTERNATIONAL,"لوريم إيبسوم","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-20,"Aeropuerto Pekin",AWY,INTERNATIONAL,"洛伦·伊普森","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
